web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genre,spoken_languages,production_countries
https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html,"Steven Spielberg rediscovers the breathing, troubling essence of a classic, building a bold and current screen musical with no pretense to perfection.",The New York Times,"subject: Movies; subject: Theater; persons: Alvarez, David (1994- ); persons: Bernstein, Leonard; persons: DeBose, Ariana; persons: Kushner, Tony; persons: Laurents, Arthur; persons: Peck, Justin; persons: Robbins, Jerome; persons: Sondheim, Stephen; persons: Spielberg, Steven; persons: Tesori, Jeanine; glocations: New York City; creative_works: West Side Story (2021) (Movie);",2021-12-08T14:55:30+0000,1316,"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight",Critic’s Pick,,"Meeting a Girl Named Maria, Again",,,,By A.O. Scott,,West Side Story,West Side Story,100000000.0,en,https://www.20thcenturystudios.com/movies/west-side-story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",27.141,156.0,74500000.0,2021-12-08,7.011,1460.0,"Drama, Romance, Crime","English, Spanish",United States of America
https://www.nytimes.com/2021/11/16/movies/aulcie-review.html,"This melodramatic documentary chronicles how Aulcie Perry, a basketball center from New Jersey, became a celebrity in Israel after he joined the Maccabi Tel Aviv team.",The New York Times,"subject: Documentary Films and Programs; subject: Basketball; persons: Menkin, Dani; persons: Perry, Aulcie; creative_works: Aulcie (Movie); glocations: Israel;",2021-11-16T21:35:40+0000,259,"‘Aulcie’ Review: Love and Basketball, in Israel",,,Aulcie,,,,By Natalia Winkelman,,Aulcie,,,,,,,,,,,,nan,nan,nan
https://www.nytimes.com/2021/11/11/movies/love-is-love-is-love-review.html,"The characters in this idle drama, directed by Eleanor Coppola, seem mostly content. That’s the problem.",The New York Times,"subject: Movies; persons: Coppola, Eleanor; persons: Arquette, Rosanna; persons: Shepherd, Cybill; persons: Wilson, Rita; creative_works: Love Is Love Is Love (Movie);",2021-11-11T12:00:06+0000,292,‘Love Is Love Is Love’ Review: Aging Too Gracefully,,,Love Is Love Is Love,,,,By Teo Bugbee,,Love Is Love Is Love,,,,,,,,,,,,nan,nan,nan
https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,"When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",The New York Times,"subject: Movies; creative_works: Love Hard (Movie); persons: Jimenez, Hernan;",2021-11-05T07:01:03+0000,343,"‘Love Hard’ Review: Seeking Connection, Not Perfection",,,Love Hard,,,,By Concepción de León,,Love Hard,Love Hard,0.0,en,https://www.netflix.com/title/81086631,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",30.863,105.0,0.0,2021-11-05,6.949,1420.0,"Comedy, Romance",English,United States of America
https://www.nytimes.com/2021/10/14/movies/bergman-island-review.html,"In Mia Hansen-Love’s new film, Vicky Krieps and Tim Roth play filmmakers on the rocks in the Baltic Sea.",The New York Times,"subject: Movies; persons: Bergman, Ingmar; persons: Roth, Tim; persons: Wasikowska, Mia; persons: Hansen-Love, Mia; creative_works: Bergman Island (Movie); persons: Krieps, Vicky;",2021-10-14T16:00:06+0000,888,‘Bergman Island’ Review: Love Among the Cinephiles,critic’s pick,,Scenes From Not Quite a Marriage,,,,By A.O. Scott,,Bergman Island,Bergman Island,0.0,en,https://www.ifcfilms.com/films/bergman-island,"An English-German filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.",23.686,113.0,589895.0,2021-07-14,6.1,181.0,"Drama, Romance","German, English, Swedish","Belgium, France, Germany, Mexico, Sweden"
https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",The New York Times,"subject: Movies; persons: Dorman, Michael (1981- ); creative_works: Hard Luck Love Song (Movie); persons: Bush, Sophia (1982- );",2021-10-14T12:27:03+0000,320,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,,,Hard Luck Love Song,,,,By Glenn Kenny,,Hard Luck Love Song,Hard Luck Love Song,0.0,en,http://HardLuckLoveSong.com,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame.",2.93,104.0,0.0,2021-10-15,4.9,10.0,"Romance, Music, Drama, Thriller","English, Spanish",United States of America
https://www.nytimes.com/2021/10/07/movies/south-of-heaven-review.html,Jason Sudeikis plays a paroled felon who vows to give his dying lover the best year of her life.,The New York Times,"subject: Movies; persons: Sudeikis, Jason; persons: Lilly, Evangeline (1979- ); persons: Keshales, Aharon; creative_works: South of Heaven (Movie);",2021-10-07T17:17:19+0000,323,‘South of Heaven’ Review: Anything for Love,,,South of Heaven,,,,By Amy Nicholson,,South of Heaven,South of Heaven,0.0,en,,"Convicted felon Jimmy gets early parole after serving twelve years for armed robbery. Upon his release, he vows to give Annie, his childhood love, now dying from cancer, the best last year of her life – unfortunately it’s not that simple.",16.665,120.0,0.0,2021-10-08,6.6,69.0,"Crime, Drama, Thriller",English,"United Kingdom, United States of America"
https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"subject: Movies; persons: Kurosawa, Kiyoshi; creative_works: Wife of a Spy (Movie);",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Critic’s Pick,,Marriage Amid Nationalism,,,,By Glenn Kenny,,Wife of a Spy,スパイの妻,0.0,ja,https://intl.nikkatsu.com/sales/358.html,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions.",11.523,114.0,0.0,2020-10-16,6.5,77.0,"Drama, War, Thriller","English, Japanese",Japan
https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,"In the Disney+ concert film “Happier Than Ever: A Love Letter to Los Angeles,” the pop star Billie Eilish pays tribute to the star-struck hauntedness of that city.",The New York Times,"subject: Documentary Films and Programs; subject: Music; persons: Eilish, Billie; persons: Rodriguez, Robert; creative_works: Happier Than Ever: A Love Letter to Los Angeles (Movie); persons: Osborne, Patrick (Film Director); glocations: Los Angeles (Calif);",2021-09-02T11:00:07+0000,302,‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,,,Happier Than Ever:  A Love Letter  to Los Angeles,,,,By Teo Bugbee,,Happier Than Ever,,,,,,,,,,,,nan,nan,nan
https://www.nytimes.com/2021/08/26/movies/together-review.html,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,The New York Times,"subject: Movies; creative_works: Together (Movie); persons: Daldry, Stephen; persons: McAvoy, James; persons: Horgan, Sharon (1970- );",2021-08-26T11:00:06+0000,412,‘Together’ Review: Love and Loathing in London,,,Love and Loathing in a Blighted London,,,,By Jeannette Catsoulis,,Together,Together,0.0,en,https://www.bbc.co.uk/programmes/m000x2lk,A husband and wife are forced to re-evaluate themselves and their relationship through the reality of the Covid-19 lockdown.,16.55,87.0,214390.0,2021-08-27,5.9,78.0,"Drama, Comedy",English,United Kingdom
https://www.nytimes.com/2021/08/05/movies/annette-review.html,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",The New York Times,"subject: Movies; persons: Carax, Leos; persons: Cotillard, Marion; persons: Driver, Adam; persons: Mael, Ron; persons: Mael, Russell; creative_works: Annette (Movie); organizations: Sparks (Music Group);",2021-08-05T11:00:07+0000,1069,‘Annette’ Review: Love Hurts,Critic’s Pick,,A Star Is Born. You Won’t Like Him.,,,,By A.O. Scott,,Annette,Annette,15500000.0,fr,https://www.amazon.com/dp/B093KHDSHR,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",29.601,140.0,3700000.0,2021-07-07,6.783,645.0,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland"
https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",The New York Times,"subject: Movies; persons: Milian, Christina; creative_works: Resort to Love (Movie); persons: Tsuchida, Steven;",2021-07-29T11:00:07+0000,310,‘Resort to Love’ Review: A Struggling Singer in Paradise,,,"Her Ex Returns, With His Bride-to-Be",,,,By Concepción de León,,Resort to Love,Resort to Love,0.0,en,https://www.netflix.com/title/81076586,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,19.114,101.0,0.0,2021-07-29,7.211,391.0,"Romance, Comedy",English,United States of America
